reviewId,content,score
63228a6b-bf18-4339-92df-7e98a528243f,Michelle Daphne Altura,5
d1f9be2f-c7af-427c-83f6-a61360e2e614,That is very incredible and that is so wonderful application... But I told the question which language are use In this application Plz give me answer the question,5
8f920c8b-1a6b-4e8d-ad44-9738fd87a761,Christen Thomas jacked my cousin Shplanda Jones account. Show profile name and messenger are taken over by this Individual that she does not know. Please fix this.,1
59cefb1d-fa45-4e8d-a938-c7e773d3f8e8,good,2
e69312fb-193f-49d1-b4bd-6c9d3a3115b5,Very satisfied,5
26853791-44f5-482e-abd1-395416db53de,Not good 😥,5
a789ac41-500b-411c-bdc1-c34e5843aefe,Can't open links in chat,3
86078bf5-dc4c-464e-96dc-0116ead5b96f,excellent 👍 👌,5
93799e8c-e64a-403c-be67-969a9bd48099,Good,5
97220caa-0e0e-4325-9f3b-29e1afa5fe7d,"Nice,easy",5
502c0aa3-508f-4b68-b89f-23afd057e013,I love it,4
9bd4c066-e6ac-47d7-bdf0-12d1a264d196,I LOVE MESSENGER BUT SOMETIMES I CAN'T STAND IT WHEN IT KEEPS MAKING THAT BEEPING NOISE WHENEVER U TRY TO CALL SOMEONE AND IT DOESN'T RING IT WILL JUST RING LIKE A BEEP BEEP BRO NOISE,5
2bb84752-3edf-4207-995a-a4e4dcf5ff69,Sometimes i cannot receive messages.,4
8c5c931f-5e0e-4358-9b34-9e189a10060d,Superb,5
56e8a158-bafb-4927-8a5b-f0a273949c35,😲😲 wow,5
0a132385-37e6-4566-a0f6-be72d77029eb,good on the picture n audio quality 👌,4
449c3a93-b0aa-495e-aeed-f75dc18426a3,good,5
d404d9fe-a960-4f49-8332-e981facc74c9,nice app,5
9d504f05-3561-439f-811c-814b17c9bc58,Ang pangit Ng update niyo sa messenger,5
28fd33ee-e1bd-47ce-a71f-3283767fe328,pointless notifications all the time had to turn off notifications just to get away from them. horrible horrible,1
da2d711d-f7de-4b2d-ba1d-6bcc1ca5ec31,Mahirap mka png messenger,5
9fde3157-fd49-454f-8225-88ebad163324,Walang notes!!,5
cbb22541-eda7-4147-8ef4-56ac58732a3f,Great,5
3063fc64-c9bd-4554-9b31-8e4f72c33d95,Nice,5
64c7ca57-6d6d-4597-a51d-cdf095de22f9,is good my friends very good,5
04517ef4-1be9-4358-9480-9874caeaee5a,It turn back when I open the apps,1
170a76a0-882b-484c-bd93-aab7148a3fbd,Good,5
79de3c50-2b77-4877-9494-2ff8e0f67c3e,Good,5
290f44f0-413d-413c-9731-55eb5d6d010c,It's so helpful,5
747611c1-3f17-425a-b521-aaa67504afca,Good call quality. X,5
2488ee72-920b-4523-9108-f7909e30844f,Great way to keep in touch with family.,5
041ed0f8-f186-4451-938c-794bc6fc7650,it's so clear forget your not on regular phone call,5
b7dd7386-9211-4fb3-8a2d-db3e93589d04,This app are so annoying it keep you log out many times even you already put the password correctly it always session expired,1
ab957047-81cb-48be-8ae9-c7162743ff76,fast and good,5
05fab358-bdfd-4c65-9820-dfcdb22c61bd,Nice,5
f3c63180-a5d8-46f5-b8d7-5d853f5df0ee,Why is my messages not sending,3
ff82ba36-96a5-4735-b31d-a0eb8a365497,nice,5
9dfc3c99-7d3a-4f2a-b5b6-2f79f0cea05c,"It's gotten better, but the app takes up too many background resources for my liking.",2
451a9756-533d-4f76-81df-305d0321cdb9,A trillion dollar company with a barley functioning app,1
619ed8d3-06b4-4547-98cf-b721f269145b,okay,5
619aaafc-77ec-467d-a39f-294107270090,Best👍,5
222eca4f-3d41-492c-8f10-c5d8c440e256,it worked great 👍,5
260cf95d-369a-4258-8540-3150629ccfe0,Can't send message?????,1
65c55275-4d8d-46e8-bd69-b2a91f45f278,yes perfect thank you,5
df4fda52-2090-465a-8bdd-8d1eaa36823b,amazing,5
9b7a810a-a8c2-48e7-995e-13371b45e7ab,terbaik,5
f4634855-6706-4c74-ad27-cc97d62f512b,fantastic reception good quality.,5
ac58e4b4-8adc-47aa-be29-02eaa5a3feec,Amazing,5
c30b241a-4e70-4d0b-a794-5ff60c66a134,reviews include my info is unacceptable.,1
1cdb4618-dee7-43fe-97ac-3b03c0fd4861,Good,3
20d28a71-6e91-432d-856c-6a69827dee83,Bring back the chathead.,5
d5bef0a8-b8a1-4199-a5c1-9e136dfeb4ed,Not active,1
d3ef98e0-9344-4665-8bab-b3f39c16f738,at least a month of conversations would go missing everytime i update. it sucks,1
e021e97c-80b5-4a2b-88f8-1e2061799870,good to see and talk to my special son,4
ff7c0630-09cc-4378-bd97-35c1a0aac939,"Searching a convo does not let me get back to an old convo, and I have to refresh the messenger app at least three times to remove the bug because it always shows black screen. The options when holding a message glitches to fit and unclickable when on vc",2
d59db793-996a-4e7b-9e82-4a1dc4784c61,EXCELLENT RECEPTION THIS CALL THANK YOU ❣️😀🤗💯,5
51fe9fcd-244d-42f9-a21f-e49f3039d89b,good so far,4
e1f9e2b7-8a98-488f-a9b7-83be978e886e,happy,5
a4a20e36-d543-4758-b4de-498be62e2b75,excellent,5
e498bd63-da06-430b-986a-e8f999e5c450,Nice,5
a633c5e3-348c-4e3a-a610-7c5111e1388c,Good app,5
cd0dbf44-98ff-4c63-a247-a14343281d2f,two stars for repetitive asking to review.,2
f081ae7b-c45f-4887-ae56-a41a4148fe0c,Awesome now just help me log into my other Facebook and the messenger it's connected to and I'll give you a 5 star rating cause it's becoming way tight difficult for me to log into my actual account for some reason my phone got stolen and I'm unable to log back into Facebook and my Gmail so please provide me with that account info so I can get the email I used with my stolen phone so I can get my account secured onto my new phone without anymore hassle,3
2d643eb3-3f9c-4387-ade8-d77510aec13e,I love that I can talk to Mary son please make sure our accounts are fixed please.,5
c89267e0-d27d-431c-a445-f11be37307c4,No. Janet,5
d21a9b2e-6476-4b50-aae1-9b6f7abb80ee,Enjoy the new site,5
236e7535-d219-488a-b850-e33ef45aaf6c,"Its an okay app, one annoying thing is that when in chats with people, it shows me the wrong profile picture...it shows an old one and not a current one.",1
6e0d635a-1372-4ad5-99e5-0adfb924da13,you cut me off! And think that I will write some good about you?!!! Ok lets see how that works out for you.,1
307f1bb3-cacd-4f6b-9251-6f258d09e4df,No reason to explain it just helps me talk to my friends.,5
a8536165-e8db-46da-a474-d9939768ec75,Love you call me when you can I will see you call me 😘💟😘 Love you call me when you can I,5
768f64e5-d6d5-469d-acf9-40b4b54266a4,How do I save this app,5
4aef31f7-6a5a-4e91-b96c-e664a85e7313,good connection,4
a0768d3d-ec0f-4a52-a27f-c636aca5748c,great,5
948d9cb3-92a8-4197-a54c-0bbe033f583b,good,5
eee2f711-ec37-4a7f-9485-c32dd1dac001,quality of call was exceptionally clear,5
60dd59c7-215d-46e7-a519-3b1adc73bc47,love it,5
52a4be72-b665-495b-9f8c-5426a20e1281,Error messenger pls download complete,4
5e0253c4-471f-4e9a-8555-f2eff6fd6052,"Call quality is awful lately. If I'm not having a hard time hearing the other person, my voice is echoing back to me. Disappointed.",1
1f6aaef5-c575-47bd-86e2-09b4130ab26e,used to this messenger,5
79cd0aa8-9377-4f4a-8d27-3a29204ae2f5,very good,5
0c31e13b-ab76-4b49-8c26-6353fca2280d,GREAT,5
9c5022a0-6077-4e6f-910f-c45508f7ddcf,when do you stop being so lame,2
c58c21e3-fe5e-4de9-8223-4fd887ef3d0f,Food,5
2124f5ab-7364-444c-990f-ccb9ebabba24,Nice,5
e8390ac2-12d4-4c59-b473-cf63fffe5f47,hard to open sometimes,1
8bcdf5ab-f7cf-4fe1-b231-06848facb54d,Good,5
d13d7796-734c-4927-ba2f-6f6c400d42a5,everyone is cool 😎 👌,5
cd8b1f2b-80d4-4879-a34f-fde981f0c9cc,Worst update,1
dfb2af47-0aef-4c6f-a2f1-bdd41ebe57eb,good watapp is the best at everything love you give love Elizabeth,5
a9eacecd-f400-40d0-a0f6-eced75d77172,"You cannot even view messages unless you have the latest version so it's basically forcing updates on you. Doesn't open videos in the Facebook app anymore, and constantly asking me to allow cookies.",1
5264d3cf-c643-49ee-84d1-0cdd44c5268b,❤️😊❤️,5
a7c029fc-8c9e-46a9-b12b-e756a2e8813c,I love it,5
2df85e7b-835e-451b-bc55-07f6bf72c5d1,Very good,5
19724475-917e-4641-b593-7b3e04c573f9,"bit blurred at times, but good",4
5197cfda-ea8c-47d0-bb94-5fa2193d64f2,very good,5
5c8a560b-1b1e-4629-bdb0-6fc01e6249db,good,5
a9405c93-53e7-4629-b4f1-14a647a3ab4d,It cur out to many times,4
b56244fc-8a7f-4da6-a654-22c5259a0151,Sana download na plss,1
2a048ad5-2e56-43eb-a109-e6865cac164f,"love the use, ringer needs to be louder.... old man problem lol.",5
b1c0236b-9548-4cf3-873e-6d58c0837b33,Ok,5
d5bfde5a-144a-43a5-be04-97efd706601f,Love it no issues ever,5
7396dc02-8d90-40b5-b2f1-6f77293ba2d7,❤️,5
b630ef22-7352-40a7-9750-7107dba5a3ab,It tells me I need to install it every time I try to use it. It won't install and therefore I cannot use it.,1
b8332f61-aec7-48c0-b4a8-b8e493c64d15,so much weak and very slowly speed👎 Very slowly speed?😱🤯 very slowly speed? can't see video?,1
67e369c9-20d2-46b7-939d-83b666520c93,Very cool making call on Facebook messenger.,5
e17821cd-521c-4beb-a2e5-ac7beafab259,Very bad,1
94667dd3-5cae-47de-b95a-e646af67ec6d,You HAVE REALLY MESSED ME UP WITH ME CHANGEING MY PASSWORD.,1
25872b77-7c44-45f7-9c25-1785b2dc4b56,"good, 👍",5
a3c40517-9a68-42d0-88f4-fd94f660c7e3,Very nice good,5
4ffa8cdc-bd2f-4664-901d-3f51c64c06b8,please remove end to end encryption,1
b4711dac-9533-4ab4-acd8-6c4b209968a0,E Y J,5
dca5373a-7dfc-478a-8e34-acfba748e5bd,thank you messenger for fast and good service..,5
dc4f7562-bd0d-4153-9f6a-928749802e5a,5 stars,5
abf52fe3-abae-46e4-b14c-ff53ab2a7da4,amazing,5
7dcd87c6-7d57-47bf-999b-ec01b859f348,Nice Story App,5
43e4c7e4-291a-4fa7-9d28-54aa8031a4a5,App is currently not opening for me at the moment. Phone said it had a bug in the app and have to wait for publisher or whatever to make update to fix bug.,3
fe699c45-90de-4ad5-a483-8bfbac275785,Good enough and all,5
6d487d84-8517-4579-aa52-aca2f9cba236,I find the app unnecessary,2
f2da1846-25ae-46d4-ba3c-e1fdc9f7c9d2,Sending url links is no longer working. Does anyone have a fox for this?,1
d69bd320-955a-421c-9c30-633cc16e7683,This app is constantly crashing and notifying me of bugs. Video quality is pore for sending videos watching them or even receiving a call.,1
44495676-bdf1-4e0b-a19e-5bfaa56c924e,I can chat my friends and video call and i can screenshot our picture i gonna send to them we have an group chat,5
e46b9a85-846e-44c2-a594-789e5f02bf38,Fast and good,5
b222c068-abec-4c61-808e-17451f3c5b6e,👌 awesome,5
9eebd97c-8f77-41ae-9f2b-7ab4fb8cc822,good,3
62239ffc-acca-40bb-9cb9-5b8c2cbb62dd,Very good.,5
e6e58158-b4e9-4570-9c44-696884f8abb0,It keeps loading & freezing up dis app sucks now smh,1
d2e81da3-95c2-4765-b723-a4ce8a80ee2f,October 2 2011,1
f67291b7-3379-41de-9673-3f1b1dee4cde,This very useful application in whole world can reach out. vote 5⭐⭐⭐⭐⭐Stars rates thank you Dev and to your team to Creating these Messenger. keep it up..👍💪,5
97020532-a15c-4f6e-97da-36efd1638559,Loading,3
f4769621-e83e-408f-9c2e-8fb3bbcce6d0,Magdownload k n,3
d425a55e-f66d-4e15-8f44-1e9a1df7c823,Why messenger can't mark messages (each senders) to delete at one click,2
626f696c-c39d-4b53-81ab-17f958ba039b,Excellent,5
32fe9962-3966-4915-84a6-a876f62779ce,Good morning 🌞!!!,5
af001208-1760-4486-8f1f-3384e4ed1c9f,Always bugging what the heck Facebook?,1
526df71d-b02a-4dd0-82ed-536e2def37ce,Won't let me have custom notifications. I used to before,1
d83e2ac5-aee1-4ccf-9811-ac15f34f4bab,Excellent app as long as it doesn't cut off during calls. Thank you.,5
300e6245-6170-465d-9459-ec7fc94a30ca,Stop making meta ai its just useless he didn't understand what am I saying and even I'm asking him about some other topics you know what he still focusing the previous topic WHY AND WHATS THE REASON WHY YOU MADE A SUCH A STUPID AI ITS MORE STUPID THAT A COMPUTER IN A CHESS CHATGPT IS MORE USEFULL THAT YOU,1
6d74e4b1-85c5-4398-9533-168bf29aaa9e,love it,4
d6101882-b754-464f-a155-7f469cd2f1c9,I love messenger we're only if I don't get a good signal so at least I have a way to still talk to people with wifi.,5
ca1e2416-6a6a-44cb-97c1-6cce8cfc383f,Pakistan,5
7837027e-1e06-45eb-977e-c2003932da5a,Dileep sagar ji,5
bd70e5bd-3d1a-4944-8dad-66016a90d287,Good,5
6c47256d-66af-4a42-8db5-5b46c4a7a2fa,Osana is back 🙌 😍 😎 ❤️ 💙 👏🏾 Àlléloua!!!.,5
0a53525c-c92d-475a-a9fa-822134b7e12a,Everything,4
ede097e3-5d47-4e05-9446-721017bcf32d,greatness,5
2b4d7476-0fdb-4ab1-8026-12a24ff63d87,Great app,5
6838ba54-0883-4646-9d59-68acdbe3bcb6,did not install this apps why,2
4d40f806-3997-4055-a2b8-e6b78b267fb8,please help me. i cannot download.,1
82e9ada1-4fc0-4a2c-aaa9-a02028dbbe7e,why my messenger not updated,1
18e7d13f-31c6-49b7-814e-ba811f26624d,Sometimes works better then the phone.,5
3b4b7fe7-9c01-4985-9ba6-a169d0e7a875,"you know it's Zuck, you know what he does, but the calls through the app sure do quite a lot to deliver",5
4d40d7ec-7d68-4b23-b3ca-26801788c7a5,Good 👍,5
7d558a27-d402-4002-bf5b-b1dc49f8cd22,Good,5
af9e31ed-a20b-4ad9-bfaf-1482c8e2ead8,"Literally never works, eats all my messages, takes 30 minutes and 40 attempts to send to even send one message, never delivers messages, constantly glitching and breaking, I just spent 20 minutes trying to send one single message, it deleted it about 12 times in a row, rebooting my app and phone each time, until 20 minutes later and dozens of attempts it finally sent my three letter message. Utter trash, complete garbage, never works, mark Zuckerberg fix the ONE THING this is meant to do",1
152486f2-3b31-4492-b8ca-216c8d595f9c,Nice,5
a5d413f5-3819-4c4f-85ad-5eb48210cd34,very good I give it 5 stars,5
7e95ff7a-9517-4b74-941e-d3f215747d98,Easy to communicate,5
e36b43ae-6956-4c72-b056-73815cc45412,awesome,5
f0d7d27a-cab0-48a3-a519-55477771f94e,Good,5
37d08496-72a7-4878-ad7b-e790576296f9,This Mita Al stinks I don't know how to get rid of it. A Michael has the name on my messenger I have no idea how this is. How do I get Reid of him and this Mida al. Any help greatly appreciated,2
252151fa-8148-47e0-9e3b-a9cc2f380a3b,I hate messager. To easily hacked,1
93b7b2de-2dc9-48ac-a872-13cb85f328f9,great,5
27f5e09a-c612-4e03-bd3c-947590250762,good quality,5
