reviewId,content,score
6f6df2e9-0b4a-48df-af5d-2e59d2cfc520,🤝💫,4
842339ab-a25e-47f4-a5e3-8bf9096b508c,Nice,5
28c3c0fe-da0c-4d76-8154-b5aa3e90d08b,This is very beautiful app I appreciate you😁,5
d363ef11-95fa-486f-9518-2a7aae2bc30e,Dev📿 bhakti Mahakal🕉️🔱 ☠️☠️☠️☠️📿 Radhe Radhe 🚩🕉️🕉️🔱,1
6a555515-eb61-4a0e-bf03-839931422527,Cool 😎.Daw,5
b4584034-393e-4c64-b954-b2e29c017980,Dharmesh,1
59376bb5-2661-4cd7-a70e-8f98c5b3f7ab,No eting,3
ecf236b8-9774-4cf4-b054-997021113c57,Good,5
1c899c31-60bb-4808-866a-51a85a82d77b,Phenomenal,5
8c32275e-3880-489c-99cd-2c5e8321cd89,Rajndra De,5
43cbd4e2-b2d4-4d69-924a-23f15aa5e25d,It is my love 😘 😈🥰,5
6e2a0ef1-02bc-4c28-a22e-af8d372ad4dd,Super,5
2e835f12-69d9-4161-a261-edf83241d8cb,Sura.j soy,5
a3637493-1a42-41fe-856b-0e256b6c3a91,Aguddg,1
824eb3be-b84a-4543-8fb3-36deed6181c1,Nice,5
c4add83e-753f-4480-9a1f-aa59bb25a3c1,Ilove instagram,5
a4a5872f-e0c8-434c-9824-8afb3175d0b1,Raju paswanji 😈 xbalk free fire 😎,4
6a3fd7f4-e6f4-4f25-95bb-4ccc5e2fe5a5,Robot dausa,1
aa6097bc-98f7-4bd3-adbd-85e5c890ce96,It is a very good social media platform with join their friends 👍🏻,5
38b7ce37-67ae-4797-ad8f-091e0cdd6fb9,Mza aa jata hai ispe reels dekh ke,5
2fb6d2a0-909d-452a-955d-13a8a0534847,AA💥💥🙏,5
bfab89cc-55af-4e04-a89d-80c6c54f11b5,Instagram..!❌ chaddigram..!✅,3
89a6f430-da82-4db6-9ce0-750f7898fcc3,Love you insta,5
3f7a8af2-6503-4524-b3a9-c0ba01bd625b,It's very lovely app for all I can run this I m very happy,5
c02cc769-81c7-4f8d-859a-d95b0da37277,Ghu,5
16fd4184-6025-4a36-8771-b2f7dc4aa78c,Best app,5
98c9f930-5ee7-4465-9c5b-170ba6b00080,"It's really fun but it won't update. I've done everything I possibly can to get the update where you can post up to 20 photos but it just won't happen. I've un-installed it and reinstalled it, I've updated it myself, nothing works!",3
6da3abb6-0bbb-4323-a0ec-237f5f6737b3,Saport insta,5
a0819b39-7894-43c9-9b36-e0224a11a352,Proprop,5
3d249a2d-1bac-4108-826c-ce1c365c9acc,Very nice 👍🙂,5
c5a5db57-d97b-449a-97f8-80bd25b43d15,🥺,1
f79c4a66-b021-4e70-a062-dfcea519daea,Good app,5
7ca488c4-559c-4cf1-9105-7042d0c85a49,That's good,5
9231a7d1-1043-4ec9-ba3a-b7c448504be1,Nice app but lots of porn and speech censorship.,4
95fe9803-1c3a-4f7d-9fff-9db68db7b3b7,Super,5
4bae3bcc-671b-4296-9fef-115756d308b2,Payal and Queen,5
d0b02445-466c-4b94-9bbd-52167cac4731,दवजी,2
c55cdceb-c3e6-44f6-a1b3-628be139b37a,Instagram is good app but they was banned my 4 years old account,1
b688184e-9c50-4f4e-aaf7-ca4678b2cdfc,I love 😍,5
0b1c4eaa-446e-45d7-aefb-e85439a8020d,"They moved the meta AI prompt. I can use message effects again, still addicting though 👽",3
f2884a77-6d9a-41d8-b605-8d66f966f404,Next Lavel,5
022ed1e2-e8b2-4b99-aa40-03550d328e56,Best app,5
ed04c373-75ff-4f80-aa22-cf951dbaf18a,गुड़ app,4
