reviewId,content,score
fecbd60d-b0cf-4bf4-8493-c3736c9e478d,good,5
80d9013c-37a6-47f6-971b-9206f5dfd5e5,good,5
4e0badb8-b1d4-4383-879c-4967f114e89c,magnifique,5
6ca27281-b913-4433-95a5-cb78863c29e8,I CAN MAKE SO MANY THINGS.,5
4a036f90-6dee-4364-a6ab-2e78d82c00bb,RASEL,5
0a074ccb-3d73-4950-8676-15fccd11635e,useful and convenient app,3
d89fa237-8c2c-4e46-8f1f-ad4ccd13251d,very nice,5
85d86340-aa8d-4cd3-81bf-291b0e5f321f,good,5
cb8f571d-99c7-4750-a49d-2cab8b8d4a81,nice,3
68c968a8-eed6-40b8-8f2e-2f6500c09c68,very nice 👌,3
ef5037fe-6dcc-44f6-b349-ad16621d26e3,khgf pi,5
a9637f21-aa75-48ed-84fe-9bb11db49127,goodfor kids,4
21e767f1-647d-41af-9b93-399f32f8bdb7,Ok,5
a3917f35-57b3-4167-b0bf-e28c18734581,I love this so muchhhhhhh,5
dd9b33e4-3f26-4011-90b7-9cd2f062ad38,rerter 1,5
c0e28871-e5f5-42cd-8931-b24150397e0f,it's 👍 👌,5
8efeadb8-9484-45e7-aab4-7528dd5a55c8,good experience,4
7866b2db-d665-4568-b0ba-c5df59dc73f8,Bad npt opening,1
bc7b359d-00c9-455b-a956-b76626b4ca41,Great,5
3e4bd0c3-307a-4a85-8aa9-2fefe66610f7,so good,5
b96443df-60e9-4eed-a064-d76b8f9455be,Excellent experience,5
849c36c7-5c1b-4d7e-a8a1-131df3d0f34b,to create reporting,5
868d4e61-4a93-4509-b8fa-aac5cde08752,what U are asking for money for a PPT useless app that is useful for laptop not phone,1
d14a954a-9638-45f8-80a5-6f1a23b5d87e,Very good app,4
d321acce-830e-4df7-8ad7-55c8561b1509,good,4
22ed5c1c-c023-44e3-bc51-346ebec4e989,it's very good application,4
5177a58e-38d3-43f2-9734-038167c3eb85,Derara Tolossa,1
5427a874-6f88-4c2b-81e1-47e54cb5b39a,nice,4
4fac1a1d-7e06-4fc7-9198-1dc1dfab5789,GOOD,4
