reviewId,content,score
68abae9b-e364-4d70-88ec-e291012e082e,Application is Very Easy to Use,3
8884e854-84d5-4702-9187-f2a350010082,awesome,5
dae081ab-7d8f-478c-a478-3f651aa79b38,effecient! best work guys.,5
7411b045-b10f-484e-bb4e-a30b62034da5,Fhfudi,5
e800dc99-4c69-4400-bf40-5ec3b125c455,Too much bugs,2
a827e6d8-c0cf-456f-a987-d330e9bc5e07,it makes my work a lot easier. thanks,4
e5550c66-adac-4845-9031-aa97b30869b2,excellent software,5
4011b1c2-86c7-4c4e-bb73-230cd53478ab,good app i like it,5
9919999f-eab3-410e-8a7f-40cc69c619cf,"It is good for typing,and very helpful to me and my documents",3
61cd6188-71e1-48a9-8571-344a27131562,"มันไม่มี share as pdf ให้แล้วเรอะ โคตรรรรรรรห่วยแตก !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ""Is there no 'share as PDF' option anymore? this is total trash !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"" 5/12/2024",1
0a85813e-108d-4099-b716-5050f692dfdb,Application was working for a while then suddenly started crashing anytime I try to open any word file. I've tried clearing app cache and data but it's not working,3
9772a772-8965-447e-a578-8afeadd841aa,Words input is so limited,1
bdd0c272-fbee-4001-94b7-abb2e4f8cfd4,work well and make things easier and bette.,5
08485ab5-e607-4a6a-9487-913f1229d31d,perfect ❣️,5
ae4f8dfa-fd41-4995-a005-49b33c185ae3,it's easy and good,5
b8f6b4e9-0929-42ce-b605-9a8b9eeb7e04,good,5
a672e07f-1d36-454d-b335-daee8b1d8c17,good,3
2e132884-3fcf-4e01-a931-414124f58fa9,It is the perfect tool to work ❤️❤️ It makes work easy for me!!!!!,5
7e6f0589-a874-47c9-9fe6-b09516890248,superbb!!!,5
a1c764a7-dad8-4d65-8d70-6150ebae74f4,wow,4
6ad1e687-1970-4c24-a3a1-7211b42a167f,Uzaie,1
b6894edc-a35c-4cd4-ac7e-9771ab1b9bac,E sharp oooo,5
24264da6-ae7d-4089-8811-5648c8dc604d,superb,4
75d85f61-727c-4687-833a-9a157d1c76cb,great,5
f34bedb2-aca4-46fe-8b6d-6741ca36f65e,ok,5
16b33293-3346-403f-b04c-c293e5ee6064,Very good application,5
ae2af347-0423-4129-956d-6a94fd6fe939,nice 👍,5
593fe927-ba7e-4801-a723-6449b2b57e7a,Very good app.,5
94960755-eea5-4c54-82fc-8284dfdbb86c,👍,3
b27b17b5-22a6-4d0e-957a-ad4ef84b4e62,"Straight forward, just what I'm used to.",5
4f1d6b40-50c8-43a9-b981-67008008d674,good,5
e243e3b3-e9a0-4109-ba3a-d9edce286b8a,good,5
26bd0c88-61eb-498c-814a-72669f51a065,excellent,5
af4550d0-ad2a-4a77-aef2-596b55964dfb,good,5
f3346d59-eb01-4c6c-aaa6-6bd0eb42b4f2,best app,5
03100ec7-2ad3-47a5-a773-dbf85ef94406,Sad to see basic features are hidden behind a pay wall,1
9108753c-9a66-44cf-864d-c214f3ebdcdb,simplicity,5
29109d01-352e-4c91-a420-05f4bf8b9d3c,sweet,5
0c5ec9fa-f895-4bab-99e8-060d7cd649ee,دردمن.....آرمان لالا🇦🇫,5
89dd0908-92ab-4bce-ba5f-8b2b5d3000ec,Gut,5
9db4d5c8-53ee-448b-b59c-d25d034b58c1,👌,2
62189bd6-b1db-4edc-85fd-5b5af2a9e19c,it's good,5
c6f04d43-ef57-41c4-b65f-84c692f61c91,excellent,5
