reviewId,content,score
23fcb637-57e3-45e4-a893-5aa230f5e885,"This year's wrapped is the most low effort it has been since it started. Missing features, no genres, no little personality. Huge downgrade with nothing to balance it out.",1
2b191e23-1c5e-4e1b-8b1e-dffe0b296ec1,Your smart shuffle sucks dick. It plays the same 8 songs over and over again. You need to fix this. I pay why cant you do your job?????,1
b57bc6cc-512f-4918-9cdf-b42c633196da,"All time spotify user, i just moved to tidal and thanks god i did that. Spotify audio quality it's TERRIBLE even with the premium, for 4 years now we waited for the new subscription with the better quality (it's seems that will cost between 15-20€, where tidal offers that for 3€ for students and 9€ for individual, even apple music offer the same cheaper). The only think that sticks me here are the podcasts, but i will listen to them via the free version",1
8329b3db-da8f-435f-80e3-2f30433301ee,This is a really very good app.,5
7be43d8c-24da-43b5-83ec-a9cfae2b442b,I love you!!!!!!!!,5
896948f5-2edc-4841-9b0e-122b40855afb,The wrapped had me blushing thank you Spotify (my top one was lana),5
5b70fdc1-df5b-4bb8-bc7d-68c18543fd9a,Pa ja Raha hai ki have a lot going out,2
903045ef-f6ab-4c92-8774-ad549f00d9d3,The other four stars requires 199₹ monthly.,1
42a2895c-1ed4-49a2-a661-c546b6ca9db1,ads sunne keliye best app hai sare duniya ke ada hai ispe,1
bdaaad7b-4eb9-4838-b1f3-5618cc2b11b7,Spotify: Music and Podcast ❌ || Spotify: Advertisement and Premium ✅ . Please change the name of your application...!,1
e78423ae-d471-4e64-b0d9-85a4c242e0a0,BHENCHODON MERA WRAPPED KAHAN HAIIIIII TMKC TMKB BHEN KE LDOONNN,5
7fa81053-1b53-460e-9e71-4a093e8df173,Acting hungry for money,2
7ab4d2c8-530e-4544-95b2-03eef328988c,"Zrušte ten smart shuffle už, načo dávate random songy to môjho playlistu kto vam to dovolil",1
09a07140-ea3d-4fd1-91f9-f82caeeb9833,"Spotify, too, ""likes progress."" This app is less functional than it used to be. While I miss the days when the free option wasn't extremely limited, the problem goes far beyond that. The interface is less functional and intutitive than ever. Somehow, three buttons is better than five at the bottom of the screen, even though the nav route is less direct? Why make your staff code this? I feel sorry for whoever gets forced to roll out your **** design. Why does this version stop playing suddenly?",2
ec5a0d99-9dba-40bd-ac12-aa6de88e9a89,I cant my access my playlist and I've been using the orginal version from play store Please help,2
a8d80924-7e0f-4cfd-9b0f-f3cd690d9410,Good,5
e4da4024-c694-4802-b5d1-72869b57b226,Very. Bad,1
f39c95a9-9369-4335-87e5-88559b5b12f4,Iyyyyy igrenc uyelik almayin bunlara para kazandirmayin tuketiciyi dusundukleri yok kar guten bi kapitalist sirket olmuslar igrenc rezilsiniz kiniyorum alin basiniza calin rezil uygulamanizi ben youtube music ciyim en azindan istedigim paracyi premiumsuz da calabiliyoruk 5 0 gerisiniz aglayim😭😭🫢🫢💩💩👊🧑‍🦲😹🤡,1
0e922a6e-a6d3-46bc-bd01-b57196ef197d,🚮 waste,1
e0b7da34-01da-484d-b045-a499923252a1,"Bro spotify fix your stupid app its so trash now, we can't even pick our music or skip. Yall just want money that's all.",1
5d1b229d-e6ed-4cfe-8f31-c6e039a683ff,It is good I like this app very much,5
8472b7bc-1190-4823-947e-ed92ac32eb86,its alright,3
e55adbe6-fa2e-47bb-ac7f-c31c7e6e959a,Bkl mod kyi bnd karayi,5
d58fe071-31d8-4f4c-a8bb-889197bee5de,"Edit: youtube is better 🤣🤣 // Can we just for one second recognize that this is a music streaming app, and if you don't pay 12.99 a month you're stuck, NOT BEING ABLE TO SKIP TO THE NEXT SONG, and you're also stuck with ADS EVERY 15MINUTES. I've listened to songs. Gotten an ad, then listened to another song, and got ANOTHER ad right after... spotify is making BILLIONS monthly from the American people. For this type of interface to be the case is inexcusable. Every company is money hungry",1
4cd23deb-f398-4add-8be9-5dd8a76704d6,"I love this app, it's so easy to find music and I have I have found a different side of music that I didn't think I'd love. The premium version is much better ⭐⭐⭐⭐⭐",5
becc19b8-3bd6-435d-8d6e-b81c833ac49a,Lovely Lovely Lovely 'jimmy savile noises',5
0c21ce58-b893-4e79-84fd-466587beaa0c,App is gud but the adds 🤧,2
aed546f8-e5af-4a66-aaf0-4b22b85354d3,I gave spotify podcast a shot. They hat one job and they failed miserably. They can't even properly resume my podcast from where I left of last time. Gonna have to start downloading podcasts from youtube again,1
b9401186-bfc2-4c94-8a0c-2b572191923e,Great app my fav music app👌🏻,5
