reviewId,content,score
e59ce783-2b89-4aa4-95b3-dd7f975fc2bb,Best app on TikTok,5
4e30c9b3-fe24-4401-8c27-3d677b039edc,Asslamulikm please mera account unfreeze my account please help me you id name sainarani86,5
25cdf432-b9ee-4f0d-bc9b-20961d7e43a8,Pbzohdhobd,5
ce7be242-1b70-4cfc-8f92-53bda45dd0dc,FOR YOU,4
a00e6bf2-afd8-45a9-983e-f61ff0f85236,It was fun 😊,4
a70bae95-27fc-43ce-a060-f21f53ec6574,I am very happy,5
d8f91d6c-c465-4f23-8071-85c29efae787,"Banned accounts and we not have a reason why, not send a email o anything, anyway thanks this make my decision to not use u app anymore waste a time....",1
68367165-ccce-4d9a-8582-915763392e81,Good,5
70c24c77-1eb9-497d-8722-2b47cbdf4d21,Because they have bad words Please fix it Please,1
a34e66ef-e74f-44b7-a088-5363c0a14256,"Videos, Music & Live Streams TikTok is THE destination for mobile videos. On TikTok, short-form videos are exciting, spontaneous, and genuine. Whether you’re a sports fanatic, a pet enthusiast, or just looking for a laugh, there’s something for everyone on TikTok. All you have to do is watch, engage with what you like, skip what you don’t, and you’ll find an endless stream of short videos that feel personalized just for you. From your morning coffee to your afternoon errands, TikTok has the vide",5
bccf345c-ffb2-41bf-b024-3f52a96215cd,My TikTok id saqib jutt 804i follow me,5
a38c1760-8320-46ba-842d-4731e6c41333,To much ADS. Looks like YouTube now,4
3fdcc1e9-48b0-4cc4-8e93-06ecb8e1f51a,Nice app,5
8938215d-5dee-43a7-9c21-e3a6781f0f2e,TikTok should probably add a button at the top right where you can search content creators,3
ceac9722-63fa-4ecb-9e6e-6f1648a4d795,I feel like TikTok promotes the Left side of politics and doesn't allow video that tell the TRUTH to be shared. It's not right.,3
16220c49-42c4-425a-a336-f60a0d8b699b,"Love the app but I'm sick of getting violations for commenting ""ew"" or using the words dumb or gross in any context only to appeal and have it approved. It's a waste of time and I'm about to uninstall it. You guys allow a lot worse but I have to worry about account suspension. Make that make sense",3
c21836c7-71d9-4594-8ef5-3335b4608a24,I am 13 and they permanent banned me on my phone so I can't get tik tok unless I get a new phone. But I didn't do anything wrong they said I am too young. But I'm not and why would it be a permanent phone ban if I could be of age to have it and i am and they won't give me my account back and let me get it on my phone. Which is very annoying bc I wanna watch it. But it's becoming a waste of time trying to get it back. So if they see this pls unbanned my phone/account,1
69832fe1-d45c-463c-a668-97b78b7d9d4f,Unable to open the links shared straightway,1
cb0de749-aa77-4b8e-a506-694b46cc86c7,Love it,5
8f19ed6c-adac-4c83-9106-05306f17c4f6,Nice app,5
40926314-79b8-4033-acab-f8d7b3f309a8,"Other than it cancelling me, I say it's amazing because it shows how many new things you can learn",5
83b8ac1a-6197-40fb-ae82-80ad838ee7f0,Yall are the worst u log me out,5
5cc1e7b0-608e-47e1-92f1-5463b4ae1ee7,I love app,3
30881ef8-b6a8-4b8e-9660-4785ad865a1c,tanveer khan,2
