reviewId,content,score
4b4303fc-52f8-4334-b301-1b10555f3456,mayumi,2
4edb7f53-1405-4545-9464-f97d628f87ca,Us on WhatsApp,5
6deda12e-b134-4f7c-852f-c2f29cb149c1,Status bar should be Vertical instead of horizontal.So that status can be viewed easily.,4
70f0e7ac-b5bf-4ca8-86d2-e6c163355749,Ok,5
d4e073fe-f6a9-4215-8d9c-7e70091b7078,"I have no problem with the app, Its good",5
0a074dab-bf52-4b01-80a8-23ee7c8b4532,Good,5
11e86351-635f-4417-8d1b-d8e5348fbdaa,"It is awesome meta AI. But it's not helpful in studies because it do not share the photos and videos of studies. Also start the auto reading text in whatsapp and in meta AI which saves time as thinking teenager, which is more useful. In today's generation the fast move is important to read the whole response is look like time waste because the response is not short, if reading text system arose it will helpful",5
ff0a0126-20fa-4010-b2a7-5fb4d684d95b,Good,5
7bdd86f9-940a-424e-8928-2aa30114ce0e,It is a good app👍,1
08412ea5-a3ad-4b76-8736-2a2c716f119b,It very good 👍,1
d10e27e1-d4f7-4dc5-afc6-743f8b3bffee,This app is so very cool and very helpfull,4
c00e7835-1717-45ca-87f0-791c429da4dc,Verification code nahi a ra,1
9ff14f6d-1e0d-4442-8907-92365254948b,"Hi WhatsApp team, what can I do to get my phone number unbanned, my number got hacked",5
aca06a68-57a0-4265-9d5b-70713ee62720,Very bad and poor,2
3b61638c-d479-49f8-a1d8-cdb6a689f091,My account was blocked and banned without knowing yy yet it had all my details n communications,1
7e388d0b-2c31-4c97-bd59-def061646d26,Good,5
8ede16be-1c55-4bad-a266-74b4b4b6f84c,Whati,1
0f4baf84-1d3f-456b-9ce7-d7317f804487,Thankyou so much,5
465380d5-e538-48f8-9e4b-6348239257d7,"SB ,",5
1ce08010-81fe-4e95-a82f-38ced76c4e6e,Ok,5
93dcabab-0ea0-47dc-8197-5dec66298033,Nice 👍👍,5
bfbf6a22-e6dc-4c87-84e0-362b5e47565f,Excellent job,5
0942fac4-8599-4175-84c5-001574b2150f,This app is best,5
729a0163-174d-4d0f-84cf-fcf18ed8368f,I want official watsapp,4
b6839963-1d9f-4155-b750-300c8e94b1b3,Wow 🥰♥️♥️❣️,5
57232595-6b15-4f9c-a3cd-6e2d90be4e80,Very useful app.,5
7e94bbbe-f7dc-4e22-a0bf-e6b741365dfa,It is good.,3
