reviewId,content,score
fa0c5db1-2caa-4d8a-aca9-ef9a3d1a2435,The update installation is not possible,1
e66cf7ce-e53c-4353-9a25-9a7888fd1108,Is very good,2
ab506263-cef7-442e-9381-4033cb04b1a5,"It's fun, easy,and private.... Jewels",5
1b4fc475-d0ed-40ef-9b2f-b5f87b201cb9,Great,5
0131f785-606a-464f-866e-f40159eb004d,nice app thanks to the creator,5
e31d67ae-fbe3-4d24-9327-d03ca58a4b3e,"Its pretty good i mostly use it to talk to my parents nothing else, it just gets annoying when random people add you to a group chat you dont know or intrested in.",4
96fd8f8b-fba5-4821-ae73-b9cdf3c65911,Good,5
76fd2264-aa8d-489d-a729-8ab4e24f8ae0,very sweet to use,5
efb92882-b46d-42f7-9dbe-b89741cc26b6,this is the best thing ever other messaging apps didn't let me call so I like this five stars I love this app it will always be on my iPad,5
5bcef773-2fd9-4977-b0c4-2771edc5b575,I can't download pictures,2
d60d91fe-1636-46ee-9d7f-b99f005758c9,good,5
98fa4132-a8d0-4df1-a7b7-694f19767c66,excellent call quality,5
a1ef321a-41ef-40fd-84c6-ebe53b9af0ea,Can't load into my account,1
9a357b8e-6bd1-470d-8637-8a317779acab,I use Skype several times a week to speak to friends in different parts of the world including England where I live. The service works well and is very consistant across the different countries.,5
4a077234-fb9e-44ba-b6e1-3e1fbd8ff15b,"Am so glad to have you here as a friend, it is good to be good to others , have a good day night rest God 🙏 bless you all,thank you all,my regard to you you all.",5
a7a6364d-4eb1-4527-b7ed-72cc5592e97c,Keep getting spam notification about bitcoin in a conversation that I have left and banned. Trash app! Used to be good.,1
2a86dfaa-059b-4796-b4c0-ea1b82602fc2,good,5
8b873eed-880e-4353-9392-885c9c58c4b6,Constantly lagging and connecting on a pixel 7 phone. Awful experience.,2
177adf80-6514-4861-b1a8-489af7917daa,it's great,5
204e970a-7b3d-41b7-8f01-14ee1fc1b44c,The sound when talking is scratchy and goes in and out.,3
156a14f4-acf4-43c1-926b-19cfcf3f48b4,"There are not many messengers in the market that work worse than Skype. It lags, it freezes, it blackens half on my screen whenever MS's Swype keyboard drops down after posting a message. I definitely recommend avoiding this messenger if you can. There are a lot of much better options. And they run smoothly, have nice common smileys instead of these ugly ones - I never know what emotion each one stands for",1
e707f356-7c95-4102-b21d-3bb6e019b491,This can be a lifesaver when one is overseas.,4
