reviewId,content,score
f3d847ad-e095-4a8d-9770-06e6c015943a,Very nice,5
f23ffc6c-5668-413a-b4ff-723679137fa0,Op,5
f556f990-63ae-4255-a3b8-d1cbe5dd32fb,Very Nice game,5
41b98245-283d-4de8-842d-2f319acb59f0,It is very good game,5
4753e462-90b9-48f2-a32d-6563e3254072,Nice game,4
7b5f862c-6a98-4704-9cf4-b9512943bd5c,I live it,5
5402ebd1-2d0d-4524-ac66-e65e2b99da88,This My therapy lol 😆,5
d167e4b2-9f1a-4f4f-93e0-1e670953b831,This is my favourite game.,5
741429d7-6ff9-4f75-a2a7-3efd23db3c80,Nitin,5
49292f18-b6f1-4a6d-a709-3ca3b0a1dec7,Es bueno el juego me encanta,5
c264ea79-e7ce-41c9-8efc-d0e2ea5f11e5,"This game is perfect. Nostalgia, Fun, and entertaining. Want a game to keep you busy download THIS GAME RIGHT NOW.",5
7f49b3ac-6a6f-4286-97c7-258702f92f9f,Good,5
148b8ac3-6ced-4798-be08-bd5e9aebf9f4,Fun,5
4ef6f12f-5862-4345-b3e2-0ef6d4998fc1,Best,5
01d6d7f0-6f6e-45e0-9289-20209eca153a,Fun,5
2dae7455-95b3-48c3-9d21-69020b9cb05b,The best game ever I have ever played ever,5
98791e64-8c6f-4f6b-9822-2b487b4f2f30,It's really just a fun game good for when you're bored.,5
b9a9b1fb-95fd-4d18-a65c-b484a0e463b7,The game is cool but then you have to make the online challenge more real,5
3bfe1030-4221-4334-a523-d91e2ac45910,Good,5
a44dae24-dccc-4a9c-930a-efeb248eebc0,😁 👍👍,5
4259d239-0549-4828-b11a-f847116dc12a,Great product it's worth it,5
b243888e-d3af-4de0-ab6e-901dcb11614b,I like game,5
16810be7-93df-4196-b30e-57dc072c9bf9,Amazing but if u only one sequence the game will be easy,4
bb3692ff-b68e-4c53-9096-5bc730f3ed99,Lovely 🌹,3
cbdbdd41-4e22-40ee-8ebf-996c11c7354b,Tee smart app,3
c892e7aa-1330-4afb-a732-2eea7f470027,i play it to much so its really good,5
d345bf91-466d-475f-9625-e8af2050d14c,Hassan Ali Lahore,5
f4ed52a9-b8f6-4ca5-9b35-1dffda8f8617,There is completely nothing wrong with this game 🔥,5
1128641e-026e-4f3b-a065-c80a05262845,It is very gooooooood,5
32cb858a-7ada-4427-8af9-b2aa14e5df88,The game is just awesome😁,5
4d520d3c-495d-43db-8a6b-28e3a63f1688,Wow 😲🤩😍😍,5
8150e839-72cc-4ec0-a223-e756dcd1e795,"The new maps ,new character and board is awesome . And i like this game because i did 20000 tusen coins in one match .",5
05e4cac3-c204-44fc-8e07-9d1af56dfcd1,This game is fun I love your is so cool and so awesome that why I love it😃😃😃😃,5
a2680cdd-90c4-4276-a6dd-bc59af3f8302,"Great,simple,best mobile offline game ever",5
449a37fe-7211-4ca6-87ed-9bac0a63e533,👍🏾,5
514d06bc-5339-4373-88cc-e953a84177d2,Go for it ❤️❤️❤️❤️❤️,5
3309abd5-3bfa-476d-b0eb-0cdbf3273f18,Very bad,1
82e23c49-56c7-4e4c-917a-27e82115965d,Childhood game 💗💗💗,5
c5865229-3380-4953-8b93-a03ff905c5aa,Add pet minecraft herobrine new changes new pawer up abilety,1
d328aad3-af44-4ac0-8a3d-55bd9736d36b,It's a good game but it's kinda leggy and when it is it weird,4
26929774-2cba-4f45-9a46-547e42c7f09b,Am not happy with this app,1
eb80fe20-0ccd-4c34-87ec-978a6f04575a,Good but I don't like to take time for watch ads,4
abfaddf2-6a3e-475f-a36d-7096e78ffe8d,W game,5
6cea9724-3f57-477e-ac15-b99e822a09e4,That game is seriously to much fun and good i everyday enjoyed this game when I feel bore and literally i did much fun with this game,5
c2fe4f7d-9371-4a38-a987-e199ce72e4a0,Fun to play,5
240a736d-17d0-4946-a509-a2d26a2766ce,Very entertaining 😊❤️,5
0c7cfefc-6f83-4d2f-b733-7422d6503394,Awesome such a goat,5
d2d16fd3-fb8c-4b1a-a239-59361f19a43a,Very nice game,5
582c5382-19b1-4933-a61c-e0e840af23cf,"Everything is really impressive but I think there should be more options for free of cost . "" IN MY OPINION""..",4
b6a797b2-15be-4e4e-b887-11a7e4a9a6a4,Good,4
e75b2a26-f233-4ca0-bac1-aff296e1bc29,I'm giving cyber sift 5 because that's the fun game that's my favourite game And and I played it hours 1 years old.,5
7a52922c-5657-495c-8072-d264b9044ef0,Where is one run challenge And if I update in update in I have to complete stage 1 again,1
f3918717-ec5f-4ac0-a5d4-7a66020c3071,It's my childhood. ❤️,5
7fb8c073-d2c3-43c2-ad60-253630a74606,Achhi hai,4
4d20ec26-5272-4394-ae74-36b014c28b65,"This is my favourite game,I've been playing this since my childhood,and I love all updates and this game is the best!! ❤️✨💗",5
a0ce8d3f-9196-49e2-bc54-628a4e9b6e90,i like it,5
1b64a836-6b5a-4a78-9b2e-f33be1696548,Game play,1
f95d503b-8593-49a9-adbd-d441957e706b,Nice 👍,5
d95f599d-6018-444d-946a-fdae95f4d89f,This game is really fun I've been playing since I was little,5
4ac48949-d891-43cf-8cf2-91667db0c79f,This very amezing,5
d79e8f21-cd61-4594-8c6f-e45aaff048b8,😳😲😲😲 wow 👍,5
b1b2216b-a1d5-411c-9472-5adcef4b2712,This game is really fun to play when your bored,5
7c72a9dd-7925-4e48-ac8b-c1b7e7ea60fb,🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😛,5
0e13feed-e6a1-442b-a77e-983e9f09c155,My nan celebrated because she got a score over 1000,5
6bbb1f67-d3f6-4bb9-b8af-07f792426363,Marvelous 👍 but.....,1
1db7cc35-5e3f-4864-8d56-10040c7bfe40,Yery nice game,5
f3d9aa72-a0cc-425f-9755-696b0ba79f5b,It's a fun 😁 game love it,5
aff6565a-686d-4789-bb89-957e5048d8b8,This is an Fantastic game I love this game this game is 😳 loving game I think all people are play this game wow wow wow this is very very interesting game,5
e03e7b5a-b709-439b-bbc7-673bd8a2a116,I love it it's so good because I really like competition,5
cea2ef87-17d5-469b-8b96-f28fbe9794c2,Lovely,5
2ec1d7b2-7db6-4bb5-b120-8e96eff55d01,Really Appreciate,5
75c6eb36-a057-4ce9-9374-3295db7ad93f,Very beautiful the added at new events were very amazing,5
c7967c3c-cff7-4c8b-8bd0-94fd2cde83fe,Good,5
ff16fa47-3bec-4280-ab51-d14a336b0dad,Very good game. EVENTS ARE AWESONE BUT sometimes special characters are allowed to do special events. If you don't have it you will not be able to play the event. Everything is good. There is even a leaderboard to compete with others. What more.,4
eaf6d54c-b1cd-415c-a6a8-fa89e2684132,Game is amazing!I think some people doesn't play it' in 2024 but I play!Thanks.,5
5283da71-d876-4037-84ad-1c5f1b10be2e,Verry nice game 🎮,5
759c6279-4c88-455a-96d4-04d94a3bf7c6,Pls update it qukily,5
819d8925-b551-4761-8866-44bca30a3a5d,Great🤍🤎,5
49ad9bc6-6681-4c55-9136-7f262ffba98e,Good game,5
3e4a7c22-a945-4d4a-91f2-b31280867c60,We are sorry about your child,5
253339b6-93f9-45ac-a45e-8d6837d4ff36,Too many ads,1
f25c1152-0846-4bad-b51d-23e0a00a2dbf,Can we please get the update with the watchman's pov?,5
6f5cb288-eb25-4c5b-86d1-fd453b45164e,Ok good,5
f6bc9d99-b31e-4bf8-9786-49c6a365542b,It is perfect 💋,5
748db55f-b6ae-4029-a843-925cb6c483ad,Haseeb,5
6437dbda-975c-4307-b201-543f36e52aa5,1 year,4
2ab55609-64ae-4e49-acfb-2fc2da89f4cf,It's to fun I love it so much,5
5429d545-98d2-4f0e-88d5-612c8e0c577e,"I changed my phone recently.so when I installed the game and reconnected ,all the items I had just disappeared. I'm playing this game since 2017 so I had pretty good collection. How do I retrieve my collection",2
f75851de-77a0-415f-85f5-3393ace0ad1a,Old is gold,5
6c0d662e-ccbd-4308-9fc5-26cfd0682df7,Very very nice,5
7b1226c9-5afa-4009-9d67-b8c84ba3fba5,Collab with toy story pleaseee!! It would be awesome,5
d428187e-b451-4f1b-845c-a3db4157c780,Time pass,3
8f2fc527-0c04-4a0a-a752-fd8ba97355b8,India's best game ❤️,5
bada509f-1a83-4b1c-9ebe-fac27f520332,This is absurd! I feel like p diddy with fur,5
db97400a-34e8-4f86-bd0e-96d332c1f1e5,Best car game,5
c8889a5d-245c-4e63-875a-1a1a82b938f7,Best game ever I play,5
8da2f8d0-c8be-4baa-be55-4570001cd882,Nice app,5
319f2914-17f8-4cbe-9c71-870413fdb683,This game is very interesting and events I like this game difficult and smooth please installed your device and rating 5 star,5
60c9e0dd-c0c1-491f-a4a4-aa7e696ebcf9,SUbway surfers,3
6124ccdb-dc17-4f38-bafb-35c708f906fa,I love the game because in subway princess a board is 400 and in subway surfers the board is 300 I hate subway princess.thank you.,5
7ec5651e-0b4d-4d5f-8cdf-ec7af2b1a0e0,Good,5
cac5c673-d470-4e3a-a9d6-92501b881029,It's a very fun game,5
a91e188f-3eed-4311-a0e8-157b07b78d87,This game is better not too much good but okay hate ads and in this 😒 game there are too much ads,4
332191da-cf3e-413e-bd1f-99e3d598b21c,Gama is very best wishes from my place to my no is very very happy new years of us and happiness and prosperity for you and prosperity in the morning with you both and you both are game like to be happy and happiness always with life and happiness 😊 May his life brings happiness and joy to be happy to you both of us are not in your health life always with a good life 🧬 you both of us and happiness always be safe with you both and happiness always with life always love and happiness always lov,5
ae9b81a0-f6fe-46b1-b404-32fe843c893f,Sonamkumari,4
8a06b4f6-6a7a-477f-9d82-d1f609247d58,👍,5
e98c17e6-57a6-42f8-abc4-a5a33e1e8265,"No word to say, but it's really nice for me 🥰. I love 😘 this much and more.",5
526c1d02-f379-4ba8-8f28-b3da88643e8c,Nice game I love the game,5
b3e1285c-e5d8-498d-b09a-618712ada6ea,Nice game,5
5ae9c570-1d6d-45c5-99d0-e9f5881fbb5c,Wow I like this game,5
901f337c-e8e0-4ae6-b866-8adbdb727515,:) :(,5
0895dc8d-e52b-4b1e-a276-bc28fe023b1c,Very nice game 🤩🤩 I reaaly like it but i miss tge previous old subway sufers background song ya that's it no other problem!!!,5
65d20b1e-152a-4f7d-a270-00fd93ab5cb7,This game is so amazing 💯💯💯💯,5
c9a1e64a-8f24-42b7-a727-d19888607156,Best,5
4ce26998-357d-471c-ac3a-4e706aab3a1d,O hype vale a pena,5
1c0a5795-c5f5-4e11-b2ae-ac2117ae7031,Maja,5
45e983c0-bc24-4b23-be53-6cec190b592a,Not interested,1
5330934c-d08b-46af-9748-fd3cb76bc9ba,Very nice gamr,5
f992a7fd-b332-4d69-ae9a-33549e11e3e9,🥺🥺,5
5bdf7ae0-f8bc-4913-bfa2-bb28b9487822,This game is super fun not a lot of bad things to say about this it's awesome 😎,5
850d6837-2982-4446-80a0-12f042e4a81b,Mastm mst,5
8abe68c6-445e-4d1d-8127-a24605ba3d2f,Good,5
97740b8e-d023-4828-ba2f-f1c6825db8f0,This game is very nice and I enjoy it 😇,4
4910c8f2-897f-4994-b191-af5c042b1727,Funnn,5
b711e659-f6c0-455c-9e4b-3045a6bf1db1,Fun and easy too play,5
ea0f7277-ea30-4437-bbbd-8cc0c3837718,No game,1
fad57c20-fcd1-4c6d-b818-4e52607ede6a,It's my favourite game,5
a27f3ac7-1cd2-4e68-8f51-c254aab90c3b,Good,5
f28b3584-000f-41ce-822b-ef3790f69074,This is very good game 🎮,5
9bed8127-ed26-41b2-92ed-024a213bc58a,Subway surfers,1
234e4ae1-7e60-4656-a4a8-9d2ca288f3ba,It's so amazing! I like it.,5
456d995c-a585-4a5a-b2a7-4d08211f0afe,I love the game,5
bdb42be4-0ecb-42d6-ad60-253ad47468b0,Beast in the making 😁,5
6a752b0e-2ab5-4303-b2b5-39ce3bbfc576,It’s amazing,5
e4cf5641-6462-4e34-958b-d3bb3fcfefb6,"It was a good game, but now there are ads that are played without any confirmation or warning.",1
0ae8b8a2-24c7-4afe-8e25-08f66e0f8fdc,Good 👍,5
eaeaee4d-797b-4a2a-8b3c-d57564c06994,Great game BUT I've been playing this game on and off since my first phone at 16. But I've been having problems recently and was hoping I could get in contact with someone. I seem to be having difficulty restoring my purchases in game. I bought the double coins a while back and it won't let me restore the double coins. I'd like to have it back but I'm not sure if I can justify buying it again. My account even has the gold bot you get from buying the double coins (can send proof) OTHERWISE 5⭐️,4
49ac0ec2-a390-461a-b0a3-d87976f9db9f,Best,5
e05f48f7-b16b-4880-8bfd-3cd40836b851,Very nice,5
df9abee7-476f-4d4e-8d8a-c0f5ba56cc57,Super,5
40d83e35-2533-4cab-841e-d299038e920b,I like the game💜,4
0f7e7fc5-bd73-4021-a7cc-23ea51d95ec1,Love,5
1c68111a-1293-4e1c-b06e-671df8cd953f,tufcroe r,4
eba42b84-af30-4e67-8753-176a2c949169,This game is super cool 😎 I never seen like this game it's been better though.,5
337ef8cf-c4f4-410d-9a87-7bbc5aa26db4,I like the game 🎮,5
c8104031-7799-4a4d-a920-b83553419d9f,Ok ok 2x aku kedah memang pantang kena cabar hang,5
721f5bff-94e0-49fe-925e-aa6a5c219a77,"I love this game ,there are so many cool surfers and more .",5
8ef816bf-158f-4c24-8ef9-72598bcd71b2,Good,5
ec810f79-0689-4b47-a032-06e001b50dad,Good game on the go,5
ba0e8cb9-1585-4959-8315-f149a7a63ed3,Amazing x,5
5308491c-1631-4818-acf4-63e05689d119,This game is good.,5
8df601f7-21d2-45f9-aa3a-e0a45b86ee3f,I love this game when I play it was so fun,5
8dea2cfd-e857-4009-a04c-45de0e951195,This game is one of the best 🎮 game I love this game,5
f585558b-9d01-4439-8312-1b32d1437bf8,please please set only classic mode,4
fc0a1380-b21b-42b4-ad43-1ed5daf137ec,Nice game,5
8a0825a8-bd40-4466-8bfc-71c25e3cde36,most of the time the game you can never stop playing at it is that fun,5
61e4ad9e-8e2e-4130-9f23-601eb8d5311c,Exactly my point,5
85e2a7df-4d14-455f-8743-4b6a00ff2b8f,It's the best game which i even played,5
eb10dbe3-d897-446c-81f0-582e3adf2b87,its very very good game for........ kids😅. btw good ga me,2
2c6693ae-f308-4948-888e-0263ac8f3f8d,You can't Boring and this game can for traveling,5
c380f196-09c4-4f20-99ee-21f0676a45b3,Best offline game!!!,5
e5372e69-e747-4c57-97e3-33a44b68cab9,It is nice,4
a5c1d0c0-2957-4064-9466-8b130a52f1d2,"Best , game is my opinion",5
0ef6dd0c-838f-40dd-b8b9-6f62d22f46c1,I LIKE GAME,5
ca59f89c-90bc-4497-8c7b-170461838aff,Subway Ⓜ,5
23b1aaa9-10a4-4928-8449-9cae669e589c,This is a game is super,5
7aed4ba1-edb7-4506-bd63-a2f6a1efa438,Okkkk,3
e69b87e4-4f9c-4b1b-8f22-560c72d4b29d,Badger. Ahmep,4
2d8ea3a1-5c4f-4f43-955f-5daf9c5d5180,Nice this game,5
008b887b-12df-4c0b-8e62-f215f96a3571,Yeahh its good..🖤,4
2c3bf6a8-3e59-4ac0-b787-a2ffea5c289b,I very much like this game ...... This game is soo triky,5
397ee21e-5a29-4385-bd4a-657761c5b531,Gud,5
0c59bd4f-fd4e-4625-9980-f3f3d2a85fcc,Its a very good game but i am sad now cause The new season hunt is over and i wanted to buy the charecter called Ji yeong,5
e027d61f-c8e3-4313-973d-b07d4fc19828,Very good,5
758438a4-15bf-4e68-a308-65517baf36c3,Bom,5
1772b58e-4468-4e03-a1e9-9e5130c63336,Very nice game,5
4b8e28d0-8789-452e-a606-f1bd226817d1,Zubair Mughil 491,4
fa632deb-c754-43d7-814a-e20fdc53c448,this game is soooooo funny,5
f048b608-e7d5-44b5-8f5f-6a010da95070,Suii,4
ee4ed670-a49d-4afd-8899-27fc302e2836,Nice game,5
2a1e303d-7ddd-4198-a77b-1fe236c0c433,Well done,5
bcad12d1-2f8b-4391-8219-89f4de7627b6,Can you guys put some effect like flame fist and rainbow smoke coming from the shoes like you get. I want to see my character with effects like free fire. Can you make a shooting game I think it is high time we move forward,5
9dd776c4-8dc1-49b1-8eb6-987a7f712a74,me ho I can never forget this game because I like it too much 😂💯💯👊,5
a53f8519-54c2-44a9-84e3-ad1cd54753de,It's amazing and interesting according to me,5
d6bf98fa-5b3d-4ead-86dd-0f129af87982,Etyteeti,1
f2ccc87c-8d42-4423-9b69-1ad1b3c6f594,The beautiful game ever,5
8c509fac-537f-4859-a8bf-338e109c7abb,VERY NICE GAME,5
6284837b-b53a-4a48-8788-fbcd4b830461,Free carater,5
721475f3-7aae-4973-87f4-217c201dc82b,Good game ever,5
3aa091dc-e9bf-44ac-aa25-cdb2cc5e94b4,Games amazing! Not that much ads at force! In fact I don't think there is force full ads! *don't make a bad update please*,5
ace5cb3f-6040-4702-a666-08f0aea95cb1,Ob,5
3bc98556-4845-4f76-a675-47532d525d0b,Loved it,4
3f132977-dfc6-4517-90f7-668b7580bceb,The game is nice but I am very angry on your because there was a character name teabot and you have removed it I have a kindly request please put the character teabot back in the game please I beg you please 🙏🙏🥺🥺. But if you put the character back. I will change my review deal 🤝!,1
92e62a2d-45a2-43c7-a085-9c7b0a9123c7,AkHTER,5
aefe2aa8-700c-4643-945c-b7ca723e7bc6,perfect game for boredom the prices need to be nerfed a little just a little bit,5
c78b5536-9313-44e6-b699-69cbfe4c7761,I enjoy this game alot and love 💕💖👑🙏🌍,5
1496fba9-8659-488f-856f-c73dfc58f7aa,Very lovely ❤️,5
5fb64eac-c5b4-4419-857f-bd78d305970b,Fun,5
f701208c-e0ad-4268-8690-7b4f7791d1b7,ok,5
92228a11-a161-4700-88b8-96a992e6103d,To bad,1
66a7f8a0-0aa9-44db-9172-0e8be365f7f6,I love ❤️ subway surfers 🏄‍♂️ it's so awesome 👌 and cool and I think people should make more games 🎮 like this 😄 I feel like you guys 👦 must make a another game 🎮 but it needs to be scary 😨 😀 😊 ❤️,5
bef53346-5c21-4b9c-a79b-a13e7d93358b,It was tooo bad,1
b2de9845-43f1-4917-b0c5-042cd89efb49,Love the game Easy with start but way too fast😂,4
0cdd1927-92dc-4e0a-8ba7-bb48223a1142,Very very nice game,5
5fdee263-bd6c-4138-9692-ecfa4c5df27a,"I used to play this game long time ago. I just came back and the UI changes and new game modes are really really good. However, I am not a big fan of the new loading screens, and I would love it if you brought back the old one in a modernized form. It would also be nice if you guys add hints of the old UI into the new one (the calendar background was iconic, and the distorted theme music that used to play on the loading screen).",5
f5b66cf6-0f3d-440a-8c52-0eb837f0836f,Best game ever I played,5
43e062ad-7144-4f20-af21-d30da519498a,සුපිරියක් තමයි ඉතින්.😘 🤣කෑවද බං🤣🤣,5
